family	rank	member	role	resource	assembler	priority	expected_bytes	md5	url	relpath
r1_HG00514	1	HG00512	father	HGSVC3	pbmm2_t2t_hifi	essential	75414640911		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00512_20250307_Alignments_HiFi_T2T.bam	data/r1_HG00514/HG00512/HG00512_20250307_Alignments_HiFi_T2T.bam
r1_HG00514	1	HG00512	father	HGSVC3	pbmm2_t2t_hifi	essential	9734864		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00512_20250307_Alignments_HiFi_T2T.bam.bai	data/r1_HG00514/HG00512/HG00512_20250307_Alignments_HiFi_T2T.bam.bai
r1_HG00514	1	HG00513	mother	HGSVC3	pbmm2_t2t_hifi	essential	101713489196		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00513_20250307_Alignments_HiFi_T2T.bam	data/r1_HG00514/HG00513/HG00513_20250307_Alignments_HiFi_T2T.bam
r1_HG00514	1	HG00513	mother	HGSVC3	pbmm2_t2t_hifi	essential	18112064		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00513_20250307_Alignments_HiFi_T2T.bam.bai	data/r1_HG00514/HG00513/HG00513_20250307_Alignments_HiFi_T2T.bam.bai
r1_HG00514	1	HG00514	child	HGSVC3	pbmm2_t2t_hifi	essential	119101838934		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00514_20250307_Alignments_HiFi_T2T.bam	data/r1_HG00514/HG00514/HG00514_20250307_Alignments_HiFi_T2T.bam
r1_HG00514	1	HG00514	child	HGSVC3	pbmm2_t2t_hifi	essential	9738096		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00514_20250307_Alignments_HiFi_T2T.bam.bai	data/r1_HG00514/HG00514/HG00514_20250307_Alignments_HiFi_T2T.bam.bai
r2_NA19240	2	NA19239	father	HGSVC3	pbmm2_t2t_hifi	essential	122754769672		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19239_20250307_Alignments_HiFi_T2T.bam	data/r2_NA19240/NA19239/NA19239_20250307_Alignments_HiFi_T2T.bam
r2_NA19240	2	NA19239	father	HGSVC3	pbmm2_t2t_hifi	essential	25853264		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19239_20250307_Alignments_HiFi_T2T.bam.bai	data/r2_NA19240/NA19239/NA19239_20250307_Alignments_HiFi_T2T.bam.bai
r2_NA19240	2	NA19238	mother	HGSVC3	pbmm2_t2t_hifi	essential	246894159947		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19238_20250307_Alignments_HiFi_T2T.bam	data/r2_NA19240/NA19238/NA19238_20250307_Alignments_HiFi_T2T.bam
r2_NA19240	2	NA19238	mother	HGSVC3	pbmm2_t2t_hifi	essential	43927160		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19238_20250307_Alignments_HiFi_T2T.bam.bai	data/r2_NA19240/NA19238/NA19238_20250307_Alignments_HiFi_T2T.bam.bai
r2_NA19240	2	NA19240	child	HGSVC3	pbmm2_t2t_hifi	essential	187015372953		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19240_20250307_Alignments_HiFi_T2T.bam	data/r2_NA19240/NA19240/NA19240_20250307_Alignments_HiFi_T2T.bam
r2_NA19240	2	NA19240	child	HGSVC3	pbmm2_t2t_hifi	essential	37375800		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/NA19240_20250307_Alignments_HiFi_T2T.bam.bai	data/r2_NA19240/NA19240/NA19240_20250307_Alignments_HiFi_T2T.bam.bai
r3_HG00733	3	HG00731	father	HGSVC3	pbmm2_t2t_hifi	essential	169137759267		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00731_20250307_Alignments_HiFi_T2T.bam	data/r3_HG00733/HG00731/HG00731_20250307_Alignments_HiFi_T2T.bam
r3_HG00733	3	HG00731	father	HGSVC3	pbmm2_t2t_hifi	essential	41435784		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00731_20250307_Alignments_HiFi_T2T.bam.bai	data/r3_HG00733/HG00731/HG00731_20250307_Alignments_HiFi_T2T.bam.bai
r3_HG00733	3	HG00732	mother	HGSVC3	pbmm2_t2t_hifi	essential	187769923015		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00732_20250307_Alignments_HiFi_T2T.bam	data/r3_HG00733/HG00732/HG00732_20250307_Alignments_HiFi_T2T.bam
r3_HG00733	3	HG00732	mother	HGSVC3	pbmm2_t2t_hifi	essential	46929712		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00732_20250307_Alignments_HiFi_T2T.bam.bai	data/r3_HG00733/HG00732/HG00732_20250307_Alignments_HiFi_T2T.bam.bai
r3_HG00733	3	HG00733	child	HGSVC3	pbmm2_t2t_hifi	essential	856523820598		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00733_20250307_Alignments_HiFi_T2T.bam	data/r3_HG00733/HG00733/HG00733_20250307_Alignments_HiFi_T2T.bam
r3_HG00733	3	HG00733	child	HGSVC3	pbmm2_t2t_hifi	essential	47863904		https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20250307_Alignments_HiFi_T2T/HG00733_20250307_Alignments_HiFi_T2T.bam.bai	data/r3_HG00733/HG00733/HG00733_20250307_Alignments_HiFi_T2T.bam.bai
