family	rank	member	role	resource	assembler	priority	expected_bytes	md5	url	relpath
1_HG00514	1	HG00512	father	HGSVC3	verkko	essential	721613154	02840d486f38edce89eec3ed26fa81d6	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00512.vrk-ps-sseq/HG00512.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/1_HG00514/HG00512/HG00512.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
1_HG00514	1	HG00512	father	HGSVC3	verkko	essential	746514660	07af5b3d09326935ab1166921307675f	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00512.vrk-ps-sseq/HG00512.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/1_HG00514/HG00512/HG00512.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
1_HG00514	1	HG00513	mother	HGSVC3	verkko	essential	750327362	ccf15247545ceff6477550a3c4249dda	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00513.vrk-ps-sseq/HG00513.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/1_HG00514/HG00513/HG00513.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
1_HG00514	1	HG00513	mother	HGSVC3	verkko	essential	749774917	b386747e5bdbf2154ffb26b58b22e4d0	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00513.vrk-ps-sseq/HG00513.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/1_HG00514/HG00513/HG00513.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
1_HG00514	1	HG00514	child	HGSVC3	verkko	essential	749778038	f7a05b40970bef5239b37eee1eb6cf21	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00514.vrk-ps-sseq/HG00514.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/1_HG00514/HG00514/HG00514.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
1_HG00514	1	HG00514	child	HGSVC3	verkko	essential	749433441	e36b673aaa0ad3af5be48c0195e46958	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00514.vrk-ps-sseq/HG00514.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/1_HG00514/HG00514/HG00514.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
2_NA19240	2	NA19239	father	HGSVC3	verkko	essential	722329291	8ab05af60f5f0c0d59d38ed5297c4bc2	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19239.vrk-ps-sseq/NA19239.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/2_NA19240/NA19239/NA19239.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
2_NA19240	2	NA19239	father	HGSVC3	verkko	essential	750974106	84730c0b253c1903ad87e5d6ca99a9d7	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19239.vrk-ps-sseq/NA19239.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/2_NA19240/NA19239/NA19239.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
2_NA19240	2	NA19238	mother	HGSVC3	verkko	essential	750643606	e0f611dc10ee1cbedf46812f19ae7eb9	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19238.vrk-ps-sseq/NA19238.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/2_NA19240/NA19238/NA19238.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
2_NA19240	2	NA19238	mother	HGSVC3	verkko	essential	750510983	a111a7fb6de468bcb1c69f8ef4530313	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19238.vrk-ps-sseq/NA19238.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/2_NA19240/NA19238/NA19238.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
2_NA19240	2	NA19240	child	HGSVC3	verkko	essential	738472939	d4648eb461d03f57c677ea0b321b3a98	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19240.vrk-ps-sseq/NA19240.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/2_NA19240/NA19240/NA19240.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
2_NA19240	2	NA19240	child	HGSVC3	verkko	essential	751102853	ad594bfcc52a547da3ac3d0079010773	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/NA19240.vrk-ps-sseq/NA19240.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/2_NA19240/NA19240/NA19240.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
3_HG00733	3	HG00731	father	HGSVC3	verkko	essential	750216607	24dff13e63601f35b060cbb69103346a	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00731.vrk-ps-sseq/HG00731.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/3_HG00733/HG00731/HG00731.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
3_HG00733	3	HG00731	father	HGSVC3	verkko	essential	721458133	5fb662302dc27fbf708e6e0ca95d1993	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00731.vrk-ps-sseq/HG00731.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00731/HG00731.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
3_HG00733	3	HG00732	mother	HGSVC3	verkko	essential	711794945	f66b9e7790c8812ccb33c5f2aaca11b4	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00732.vrk-ps-sseq/HG00732.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/3_HG00733/HG00732/HG00732.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
3_HG00733	3	HG00732	mother	HGSVC3	verkko	essential	750616426	3a9b6af7bf5be9161f72b2ad33bbdc03	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00732.vrk-ps-sseq/HG00732.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00732/HG00732.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
3_HG00733	3	HG00733	child	HGSVC3	verkko	essential	751482690	73cc5435a53f747655597a5cf4aedfdb	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00733.vrk-ps-sseq/HG00733.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/3_HG00733/HG00733/HG00733.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
3_HG00733	3	HG00733	child	HGSVC3	verkko	essential	752266583	75141b0afdb872fcb0ea1a141e6eb1c5	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00733.vrk-ps-sseq/HG00733.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00733/HG00733.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
4_HG03371	4	HG03370	father	LRSC500	shasta_hapdup	essential	2977358209		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03370/HG03370_hapdup_phased_1.fasta	data/4_HG03371/HG03370/HG03370_hapdup_phased_1.fasta
4_HG03371	4	HG03370	father	LRSC500	shasta_hapdup	essential	2977216671		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03370/HG03370_hapdup_phased_2.fasta	data/4_HG03371/HG03370/HG03370_hapdup_phased_2.fasta
4_HG03371	4	HG03369	mother	LRSC500	shasta_hapdup	essential	2928255913		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03369/HG03369_hapdup_phased_1.fasta	data/4_HG03371/HG03369/HG03369_hapdup_phased_1.fasta
4_HG03371	4	HG03369	mother	LRSC500	shasta_hapdup	essential	2928572379		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03369/HG03369_hapdup_phased_2.fasta	data/4_HG03371/HG03369/HG03369_hapdup_phased_2.fasta
4_HG03371	4	HG03371	child	LRSC500	shasta_hapdup	essential	2965561511		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03371/HG03371_hapdup_phased_1.fasta	data/4_HG03371/HG03371/HG03371_hapdup_phased_1.fasta
4_HG03371	4	HG03371	child	LRSC500	shasta_hapdup	essential	2965747647		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03371/HG03371_hapdup_phased_2.fasta	data/4_HG03371/HG03371/HG03371_hapdup_phased_2.fasta
5_HG00706	5	HG00704	father	LRSC500	hifiasm_r10	essential	3056750639		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned_asm_1.fa	data/5_HG00706/HG00704/HG00704_asm_1.fa
5_HG00706	5	HG00704	father	LRSC500	hifiasm_r10	essential	2917106560		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned_asm_2.fa	data/5_HG00706/HG00704/HG00704_asm_2.fa
5_HG00706	5	HG00705	mother	LRSC500	shasta_hapdup	essential	2934737380		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00705/HG00705-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_1.fasta	data/5_HG00706/HG00705/HG00705_hapdup_phased_1.fasta
5_HG00706	5	HG00705	mother	LRSC500	shasta_hapdup	essential	2934648113		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00705/HG00705-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_2.fasta	data/5_HG00706/HG00705/HG00705_hapdup_phased_2.fasta
5_HG00706	5	HG00706	child	LRSC500	shasta_hapdup	essential	2945331710		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00706/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC.hapdup_phased_1.fasta	data/5_HG00706/HG00706/HG00706_hapdup_phased_1.fasta
