ksz_GBBvvCU|ДМИТРИЙ ДОЛГОВ. "С берега".
UgcS8YXMIAg|ГИТАРА ПО КРУГУ — Телеграмма уж готова — 24 мая 2026 г.
NastMtX6Mhg|ЛЕКАРСТВА УКРАИНЕ №182 — Марк Кацир — 23 мая 2026 г.
jffn5BcSN1Y|ЕВГЕНИЙ ИОХВИД. "Обещанье рождества".
PEyKp5OUJXQ|ГИТАРА ПО КРУГУ — 17 мгновений весны — 17 мая 2026 г.
hI1mZkTFqEg|ЦВЕТАЕВСКИЙ КОСТЕР № 11 —16 мая 2026 г.
YL_eFXSGakA|НАТАЛЬЯ ГРИНБАУМ-СМИРНОС. "Blowin' in the Wind".
_MQQ3ipJscc|ГИТАРА ПО КРУГУ — Песенка, короткая, как жизнь сама — 10 мая 2026 г.
hHMxZ-dPiiI|ГИТАРА ПО КРУГУ — День рождения Моно-театра "Шалом". Наталья Сиротюк —  9 мая 2026 г.
3E0dnWOPC7A|ВИКТОР БАЙРАК. "Ворон".
tWVmubUiMj4|ГИТАРА ПО КРУГУ — Баллада об уличных музыкантах — 3 мая 2026 г.
wGocY8wqwuY|ГИТАРА ПО КРУГУ — Парусник мой белый — 19 апреля 2026 г.
9H2_WP-zMMI|ЛЕКАРСТВА УКРАИНЕ №181 — Татьяна Задорская и Екатерина Нехаева — 2 мая 2026 г.
iDkG2mQdJbw|ГИТАРА ПО КРУГУ — Сверим наши песни — 26 апреля 2026 г.
jInaJ33uK3Y|ЛЕКАРСТВА УКРАИНЕ №180 — Рита Соловьева и Оксана Кошелева — 25 апреля 2026 г
BquFRrU6qvM|ЛЕКАРСТВА УКРАИНЕ №179 — Владимир Семенов — 18 апреля  2026 г.
1ddNmxqwunw|ИРИНА БАРАБАШ. "Посвящение Юрию Черкашину".
Yqq6aHgUjwo|ГИТАРА ПО КРУГУ — И на Марсе будут яблони цвести — 12 апреля 2026 г.
HyWOs35zv0w|ЛЕКАРСТВА УКРАИНЕ №178 — Юлия Аблаева, Анатолий Литманович — 11 апреля 2026 г.
PwQXpdgkHzs|НАТАЛИЯ СИРОТЮК. "Старий київський романс".
PM2bSmFsorM|ВИКТОР БАЙРАК. "Ветер".
R9hsqQscrO0|ГИТАРА ПО КРУГУ — Время действия - в апреле! — 5 апреля 2026 г.
tlXDqaOkqio|ЛЕКАРСТВА УКРАИНЕ №177 — Игорь Ли, Николай Ютушуй — 4 апреля 2026 г.
NaJsucKcP2w|ЮРИЙ ЧЕРКАШИН. "Осень".
c7rDHJMXs_I|ГИТАРА ПО КРУГУ — Я клоун, я затейник — 29 марта 2026 г.
2wWS7xu-NW4|ЛЕКАРСТВА УКРАИНЕ №176 — Эмилия Розенштейн — 28 марта 2026 г.
xwnhgR--faU|ДМИТРИЙ ДОЛГОВ. "Истина в ДК".
Dd2q4jee26E|ГИТАРА ПО КРУГУ — Клубу ТАМЗА 6 лет—  "Я дарю тебе к светлому празднику" —  22 марта 2026 г.
V5ibCQ6jEd4|ТВОРЧЕСКАЯ КУХНЯ — Сергей Рубашкин — Репетиция №15.
vdgPZ8Mlybc|ГИТАРА ПО КРУГУ — Жил был мартовский кот — 15 марта 2026 г.
6OUubPSb6lQ|ЛЕКАРСТВА УКРАИНЕ №175 — Сергей Рубашкин — 14 марта 2026 г.
