grouping	superpopulation	population	tier	complete_families	callable_positions	candidate_occurrences	candidates_per_billion_callable_positions	interpretation
population	AFR	ACB	primary	1	775832	0	0.000000	descriptive_preliminary
population	AFR	ACB	strict_mapq60	1	273409	0	0.000000	descriptive_preliminary
population	AFR	GWD	primary	1	774395	0	0.000000	descriptive_preliminary
population	AFR	GWD	strict_mapq60	1	265707	0	0.000000	descriptive_preliminary
population	AFR	YRI	primary	1	772261	1	1294.899004	descriptive_preliminary
population	AFR	YRI	strict_mapq60	1	267748	0	0.000000	descriptive_preliminary
population	AMR	CLM	primary	1	810929	0	0.000000	descriptive_preliminary
population	AMR	CLM	strict_mapq60	1	307583	0	0.000000	descriptive_preliminary
population	AMR	PEL	primary	1	789022	1	1267.391784	descriptive_preliminary
population	AMR	PEL	strict_mapq60	1	270555	0	0.000000	descriptive_preliminary
population	AMR	PUR	primary	2	1558084	6	3850.883521	descriptive_preliminary
population	AMR	PUR	strict_mapq60	2	523816	1	1909.067306	descriptive_preliminary
population	EAS	CHS	primary	1	796072	2	2512.335568	descriptive_preliminary
population	EAS	CHS	strict_mapq60	1	280694	0	0.000000	descriptive_preliminary
population	EUR	CEU	primary	1	795902	2	2512.872188	descriptive_preliminary
population	EUR	CEU	strict_mapq60	1	279269	0	0.000000	descriptive_preliminary
population	SAS	BEB	primary	1	786588	0	0.000000	descriptive_preliminary
population	SAS	BEB	strict_mapq60	1	275113	0	0.000000	descriptive_preliminary
population	SAS	PJL	primary	2	1582304	4	2527.959229	descriptive_preliminary
population	SAS	PJL	strict_mapq60	2	559825	0	0.000000	descriptive_preliminary
superpopulation	AFR	all	primary	3	2322488	1	430.572731	descriptive_preliminary
superpopulation	AFR	all	strict_mapq60	3	806864	0	0.000000	descriptive_preliminary
superpopulation	AMR	all	primary	4	3158035	7	2216.568214	descriptive_preliminary
superpopulation	AMR	all	strict_mapq60	4	1101954	1	907.478897	descriptive_preliminary
superpopulation	EAS	all	primary	1	796072	2	2512.335568	descriptive_preliminary
superpopulation	EAS	all	strict_mapq60	1	280694	0	0.000000	descriptive_preliminary
superpopulation	EUR	all	primary	1	795902	2	2512.872188	descriptive_preliminary
superpopulation	EUR	all	strict_mapq60	1	279269	0	0.000000	descriptive_preliminary
superpopulation	SAS	all	primary	3	2368892	4	1688.553129	descriptive_preliminary
superpopulation	SAS	all	strict_mapq60	3	834938	0	0.000000	descriptive_preliminary
all_complete_families	all	all	primary	12	9441389	16	1694.665901	descriptive_preliminary
all_complete_families	all	all	strict_mapq60	12	3303719	1	302.689181	descriptive_preliminary
