omitted_family	families_remaining	survivors_remaining	pr26_survivors	pr26_exposure_share	pr26_expected_survivors	pr26_standardized_incidence_ratio	pr26_sir_95ci_low	pr26_sir_95ci_high	pr26_exact_binomial_p	global_pearson_x2	global_exact_multinomial_p	enumerated_multinomial_tables
NONE	12	10	4	0.0805985221	0.80598522	4.96287016	1.50812019	9.15180458	0.00595886	19.40488800	0.03616767	352716
1341	11	8	4	0.0880184078	0.70414726	5.68062991	1.78386288	9.57739694	0.00314180	20.22634658	0.02254410	43758
BB23	11	10	4	0.0878145513	0.87814551	4.55505373	1.38419267	8.39976874	0.00809579	16.98858537	0.05072137	184756
BD28	11	10	4	0.0879236854	0.87923685	4.54939984	1.38247456	8.38934265	0.00813161	16.95508617	0.05099977	184756
CLM30	11	10	4	0.0881716618	0.88171662	4.53660498	1.37858645	8.36574823	0.00821340	16.87927694	0.05164838	184756
GB88	11	10	4	0.0877999916	0.87799992	4.55580909	1.38442221	8.40116167	0.00809102	16.99306085	0.05066978	184756
PEL019	11	9	4	0.0879484192	0.79153577	5.05346712	1.55768192	8.95970047	0.00524701	19.72323519	0.01903530	92378
PK06	11	10	4	0.0880465464	0.88046546	4.54305156	1.38054544	8.37763607	0.00817206	16.91747276	0.05141209	184756
PK16	11	9	4	0.0878937368	0.79104363	5.05661109	1.55865102	8.96527468	0.00523519	19.73273018	0.01908448	92378
PR04	11	9	4	0.0880308301	0.79227747	5.04873626	1.55622368	8.95131276	0.00526487	19.70871528	0.01907752	92378
PR26	11	6	not_estimable	not_estimable	not_estimable	not_estimable	not_estimable	not_estimable	not_estimable	8.63902809	0.61176093	8008
SH028	11	10	4	0.0880201385	0.88020139	4.54441457	1.38095963	8.38014954	0.00816336	16.92554857	0.05132253	184756
Y028	11	9	4	0.0877783786	0.79000541	5.06325648	1.56069939	8.97705683	0.00521031	19.75238067	0.01923383	92378
