omitted_family	transition_pass	transition_total	transversion_pass	transversion_total	transition_pass_fraction	transversion_pass_fraction	risk_difference	risk_ratio	risk_ratio_95ci_low	risk_ratio_95ci_high	odds_ratio	fisher_exact_two_sided_p
NONE	8	9	2	7	0.88888889	0.28571429	0.60317460	3.11111111	0.94281926	10.26603168	20.00000000	0.03496503
1341	7	8	1	6	0.87500000	0.16666667	0.70833333	5.25000000	0.86067837	32.02415774	35.00000000	0.02564103
BB23	8	9	2	7	0.88888889	0.28571429	0.60317460	3.11111111	0.94281926	10.26603168	20.00000000	0.03496503
BD28	8	9	2	7	0.88888889	0.28571429	0.60317460	3.11111111	0.94281926	10.26603168	20.00000000	0.03496503
CLM30	8	9	2	7	0.88888889	0.28571429	0.60317460	3.11111111	0.94281926	10.26603168	20.00000000	0.03496503
GB88	8	9	2	7	0.88888889	0.28571429	0.60317460	3.11111111	0.94281926	10.26603168	20.00000000	0.03496503
PEL019	7	8	2	7	0.87500000	0.28571429	0.58928571	3.06250000	0.92219706	10.17017579	17.50000000	0.04055944
PK06	8	8	2	5	1.00000000	0.40000000	0.60000000	2.50000000	0.85451113	7.31412360	not_estimable	0.03496503
PK16	7	8	2	7	0.87500000	0.28571429	0.58928571	3.06250000	0.92219706	10.17017579	17.50000000	0.04055944
PR04	7	8	2	6	0.87500000	0.33333333	0.54166667	2.62500000	0.82166727	8.38615006	14.00000000	0.09090909
PR26	4	5	2	7	0.80000000	0.28571429	0.51428571	2.80000000	0.80172514	9.77891245	10.00000000	0.24242424
SH028	8	9	2	5	0.88888889	0.40000000	0.48888889	2.22222222	0.74113123	6.66315408	12.00000000	0.09490509
Y028	8	9	1	6	0.88888889	0.16666667	0.72222222	5.33333333	0.87803744	32.39548030	40.00000000	0.01098901
