"request_index"	"sample"	"region"	"bam"	"bam_bytes"	"bam_sha256"	"bai"	"bai_bytes"	"bai_sha256"
"1"	"HG02495"	"chr2:78039236-78040164"	"001_HG02495.bam"	"115770"	"6b8088a4dce89c72bb5b6753bdc2b920fe7c933cab246c1087f87b8362db8aed"	"001_HG02495.bam.bai"	"65120"	"50b127e3b28840fad9b5e00471638a8fd9ea76d240c259842486502d0a22e2ce"
"2"	"HG02605"	"chr2:78039236-78040164"	"002_HG02605.bam"	"113874"	"c7c3c47d52fbf52a0930a47ddd99d4c0dfdcf1a896d2b25790bd74c9cd82e079"	"002_HG02605.bam.bai"	"65120"	"605087f3b9b19512501a0ac1f5f414f7f3f5dc169eca2a3c1d7f9b7e36211290"
"3"	"HG02495"	"chr2:88840750-88840985"	"003_HG02495.bam"	"107406"	"d821197f27d4d93ca903767170cc529e9c526fb0fbd67fdbb995896c2d991029"	"003_HG02495.bam.bai"	"70392"	"2ffe188f0fee777af979692b3e309c777630c9d44c1a268f80d0e1dd53afdde7"
"4"	"HG02605"	"chr2:88840750-88840985"	"004_HG02605.bam"	"107168"	"d7ad110fabfb285b4b646e6c3c2b1e2cebac1f7d97090e5c4329243f67067e38"	"004_HG02605.bam.bai"	"70392"	"1ad79174ad8e5ebc548bc1dbfc211690ee5dfceececacfd6f9e7983e22935efc"
"5"	"HG02495"	"chr4:122286207-122286285"	"005_HG02495.bam"	"107057"	"959361adfd0502b234c32fc7058d2a47c2abc2dd18610e1a9497231e5c3f0cb2"	"005_HG02495.bam.bai"	"86720"	"53914fcf1da019dc8fb29c179c585daf30f6ef6c4b0845bdccfa096856467163"
"6"	"HG02605"	"chr4:122286207-122286285"	"006_HG02605.bam"	"106775"	"9a2987444fee25b8843c99f169528c9709a8e061c72b2df71d0130d277649548"	"006_HG02605.bam.bai"	"86720"	"cea4dc589f2050c82a2adfde39e9ee3c65c79fd0f841ea410b4c345e2c7e0689"
"7"	"HG02495"	"chr5:17278531-17278647"	"007_HG02495.bam"	"106920"	"62994db65a164eab37918c7914196c3380cd0f2cda4e9f9a92adc370300f2990"	"007_HG02495.bam.bai"	"35448"	"a073303030d2869095b8b03b096849d3c7feed30e9cf824d7a6422bf1f4fb9eb"
"8"	"HG02605"	"chr5:17278531-17278647"	"008_HG02605.bam"	"107570"	"5c746419ee3970c2a21c75622fd615ac79e8dc13f0b520ccc1ff0c0f03f2f3e5"	"008_HG02605.bam.bai"	"35448"	"821b06eb58d2ead1dd78fcdfee638c0a7251ab2e87ddcd0a091ec7591f9fc892"
"9"	"HG02495"	"chr6:151389627-151389850"	"009_HG02495.bam"	"108957"	"029ba3ba2ff05bdfc358cd7fbc669497ebbab4abdca21f1ca1f45b5aaeff0a77"	"009_HG02495.bam.bai"	"100936"	"e7c762f90875779ed3cee00daa2b29293124785bd22a2e2950d5fe265c08f80c"
"10"	"HG02605"	"chr6:151389627-151389850"	"010_HG02605.bam"	"108932"	"d7d95de3a5b6a056ddcfd69e5aa74ede2fd5ca2f7f760e205f8cf45917aa1a16"	"010_HG02605.bam.bai"	"100936"	"6910a6cd7d1367b560694406c395bf056bc2f5e28daa671f9f7b4d2741a3277f"
"11"	"HG02495"	"chr13:70835528-70835916"	"011_HG02495.bam"	"110169"	"5e9491ba7a1009c060ad31516591197f98d1c7ac27dd5b095a5e016278cdf7bc"	"011_HG02495.bam.bai"	"61600"	"2f6b1728fb7276fc08164db4cdefcbf31ba3bf4aeaa36faebafdf5f30d27b4a7"
"12"	"HG02605"	"chr13:70835528-70835916"	"012_HG02605.bam"	"109073"	"acbd46338b4925a4a258478cdec396f8e043fbcf3f0f4c658f467eccb767714b"	"012_HG02605.bam.bai"	"61600"	"6b2b5a4ceacf7e184c038fd3fcdd63e8f1598bf0647e9a1c6a2974dfd7534de4"
"13"	"HG02495"	"chr19:43615729-43615886"	"013_HG02495.bam"	"108555"	"dc61d4bb125c3049601dcb94e7c55b7b9c1d9cfd8a6322dc6be3c38e991d912e"	"013_HG02495.bam.bai"	"48312"	"ee10a4400357512889f6a0cf2f7029be2f454abdb74a74119c7ee4cfbdc09af3"
"14"	"HG02605"	"chr19:43615729-43615886"	"014_HG02605.bam"	"107445"	"e307d51a0ed80b936f83d28be9b914ad22b5404c6ca3f31eec1759578001eee2"	"014_HG02605.bam.bai"	"48312"	"dd464a9cf1c24a76883a9ea44b387412cd7ae186f11aa66d34136e1efc111c11"
"15"	"HG02495"	"chr17:43114625-43116624"	"015_HG02495.bam"	"130376"	"16b8c6d30c8b3c71007991336f2bad796422b1601ae20b95df3e8d1dca65619a"	"015_HG02495.bam.bai"	"48064"	"af4136ebc794289c0d047f4216dd5205d6e132cf4eadd2a878b28965de618c56"
"16"	"HG02605"	"chr17:43114625-43116624"	"016_HG02605.bam"	"132474"	"6cc3d0c7a64b060fd640d1d952dcb40ca396f50bfd3902e3a8781455613960f3"	"016_HG02605.bam.bai"	"48064"	"bfaf63c6dd8371065046905c1324da8e3a631a2fa462722eeff505b97c29eb61"
