chromosome	complete_families	primary_callable_positions	primary_loose_occurrences	primary_occurrences_per_billion_callable	expected_primary_occurrences_from_exposure	strict_callable_positions	strict_occurrences	strict_occurrences_per_billion_callable
chr1	12	860895	4	4646.327369	1.458929	302970	0	0.000000
chr2	12	923510	3	3248.475923	1.565041	324252	0	0.000000
chr3	12	745643	1	1341.124372	1.263616	264600	0	0.000000
chr4	12	669506	1	1493.638593	1.134589	223878	0	0.000000
chr5	12	598299	3	5014.215300	1.013917	214062	1	4671.543758
chr6	12	585229	0	0.000000	0.991768	215313	0	0.000000
chr7	12	557355	0	0.000000	0.944531	201018	0	0.000000
chr8	12	398333	0	0.000000	0.675041	138482	0	0.000000
chr9	12	394515	1	2534.757867	0.668571	138541	0	0.000000
chr10	12	395904	0	0.000000	0.670925	133416	0	0.000000
chr11	12	490686	1	2037.963178	0.831549	182662	0	0.000000
chr12	12	511052	0	0.000000	0.866062	160998	0	0.000000
chr13	12	423398	0	0.000000	0.717518	142827	0	0.000000
chr14	12	321040	1	3114.876651	0.544056	112919	0	0.000000
chr15	12	228601	0	0.000000	0.387402	91064	0	0.000000
chr16	12	282866	0	0.000000	0.479363	98421	0	0.000000
chr17	12	259954	0	0.000000	0.440535	90038	0	0.000000
chr18	12	252249	0	0.000000	0.427478	88520	0	0.000000
chr19	12	201720	0	0.000000	0.341848	62845	0	0.000000
chr20	12	194482	1	5141.864029	0.329582	64999	0	0.000000
chr21	12	73903	0	0.000000	0.125241	26979	0	0.000000
chr22	12	72249	0	0.000000	0.122438	24915	0	0.000000
